Gender,AgeRange,BigOneInLifetimePred
Female,30 - 44,Yes
Female,45 - 59,No
Male,60,Yes
Female,30 - 44,No
Female,45 - 59,Yes
Female,45 - 59,No
Female,18 - 29,No
Male,45 - 59,Yes
Female,60,No
Male,45 - 59,No
Female,45 - 59,No
Female,45 - 59,No
Female,45 - 59,Yes
Male,45 - 59,Yes
Female,18 - 29,No
Female,60,Yes
Male,60,No
Male,18 - 29,No
Male,18 - 29,No
,,Yes
Female,30 - 44,No
Male,45 - 59,Yes
Female,45 - 59,No
Male,60,Yes
Female,60,No
Male,18 - 29,Yes
Female,30 - 44,No
Male,60,No
Male,45 - 59,Yes
Female,18 - 29,No
Female,30 - 44,Yes
Female,45 - 59,No
Male,60,No
Female,60,Yes
Female,60,Yes
Female,60,Yes
Female,30 - 44,Yes
Male,60,No
Female,30 - 44,Yes
Male,45 - 59,Yes
Female,60,No
Male,60,No
Female,45 - 59,No
Male,60,No
Male,30 - 44,No
Female,18 - 29,Yes
Female,30 - 44,No
Female,45 - 59,Yes
Female,45 - 59,Yes
Female,18 - 29,Yes
Female,30 - 44,Yes
Female,60,No
Male,60,No
Male,30 - 44,Yes
Female,18 - 29,No
Female,30 - 44,No
,,Yes
Male,45 - 59,No
Female,60,No
Female,45 - 59,No
Female,30 - 44,Yes
Male,18 - 29,Yes
Female,18 - 29,Yes
Male,60,No
Male,18 - 29,No
Male,60,Yes
Female,18 - 29,No
Female,18 - 29,No
Female,30 - 44,No
Female,60,Yes
Female,45 - 59,Yes
Female,30 - 44,No
Female,60,Yes
Female,45 - 59,Yes
Male,60,No
Female,18 - 29,No
Female,30 - 44,Yes
Male,60,Yes
Female,18 - 29,Yes
Male,30 - 44,Yes
Male,45 - 59,No
Female,45 - 59,Yes
Male,30 - 44,Yes
Female,30 - 44,No
Female,18 - 29,No
Female,30 - 44,No
Male,60,No
Male,18 - 29,Yes
Male,30 - 44,No
Female,60,No
Female,45 - 59,Yes
Male,30 - 44,Yes
Female,45 - 59,Yes
Male,30 - 44,No
Female,30 - 44,No
Female,60,Yes
Female,45 - 59,Yes
Male,60,No
Male,18 - 29,No
Female,60,No
Female,60,Yes
Female,30 - 44,Yes
Female,45 - 59,Yes
Male,30 - 44,No
Female,60,Yes
Male,45 - 59,No
Female,30 - 44,No
Female,60,No
Female,45 - 59,No
Male,45 - 59,No
Female,30 - 44,No
Female,30 - 44,No
Female,45 - 59,Yes
Female,30 - 44,No
Female,18 - 29,No
Female,30 - 44,No
Male,30 - 44,No
Male,60,No
Female,45 - 59,Yes
Female,45 - 59,No
Male,45 - 59,No
Female,60,No
Female,30 - 44,No
Female,60,No
Female,45 - 59,Yes
Female,45 - 59,No
Female,18 - 29,Yes
Male,60,Yes
Female,60,No
Female,18 - 29,No
Female,45 - 59,No
Female,60,No
Female,60,No
Female,45 - 59,No
Male,45 - 59,Yes
Female,60,No
Female,30 - 44,No
Female,30 - 44,No
Male,60,No
Male,30 - 44,Yes
Female,30 - 44,Yes
Female,18 - 29,Yes
Male,45 - 59,Yes
Female,45 - 59,No
Female,30 - 44,Yes
Male,45 - 59,Yes
Female,18 - 29,No
Female,60,No
Female,30 - 44,Yes
Female,45 - 59,No
Female,18 - 29,No
Male,60,No
Female,45 - 59,No
Female,30 - 44,No
Female,60,Yes
Female,30 - 44,No
Male,60,No
Male,45 - 59,No
Female,45 - 59,Yes
Female,45 - 59,Yes
Male,45 - 59,No
Female,60,No
Female,60,No
Male,45 - 59,No
Female,60,Yes
Male,30 - 44,Yes
Male,45 - 59,Yes
Female,18 - 29,Yes
Male,60,No
Male,45 - 59,No
Female,60,Yes
Male,45 - 59,Yes
Male,45 - 59,No
Male,30 - 44,No
Male,30 - 44,Yes
Female,18 - 29,No
Female,18 - 29,No
Male,18 - 29,Yes
Female,45 - 59,No
Female,45 - 59,Yes
Female,60,No
Female,18 - 29,No
Female,30 - 44,Yes
Female,45 - 59,Yes
Male,45 - 59,Yes
Female,60,Yes
Female,30 - 44,Yes
Female,45 - 59,Yes
Female,60,No
Female,60,No
Male,30 - 44,No
Female,45 - 59,No
Male,45 - 59,No
Female,30 - 44,No
Female,30 - 44,No
Female,60,No
Female,60,Yes
Male,45 - 59,No
Female,30 - 44,No
Male,45 - 59,No
Female,45 - 59,Yes
Female,45 - 59,No
Female,60,No
Male,18 - 29,No
Female,18 - 29,No
Female,30 - 44,No
Female,45 - 59,No
Male,60,Yes
Male,30 - 44,Yes
Female,30 - 44,No
Male,18 - 29,No
Female,60,Yes
Male,30 - 44,Yes
Female,18 - 29,No
Female,60,No
Female,18 - 29,No
Male,30 - 44,No
Female,60,No
Female,45 - 59,No
Male,30 - 44,No
Female,60,No
Male,45 - 59,No
Male,45 - 59,No
Female,60,Yes
Female,30 - 44,Yes
Female,45 - 59,Yes
Female,45 - 59,Yes
Male,60,No
Female,45 - 59,Yes
Male,18 - 29,No
Male,45 - 59,No
Male,18 - 29,No
Female,18 - 29,Yes
Male,30 - 44,No
Female,45 - 59,Yes
Male,18 - 29,No
Male,60,No
Female,60,No
Female,45 - 59,Yes
Female,18 - 29,No
Female,45 - 59,No
Female,45 - 59,No
Male,18 - 29,Yes
Male,30 - 44,Yes
Female,60,No
Female,45 - 59,No
Female,45 - 59,No
Female,60,No
Female,45 - 59,No
Male,60,Yes
Female,60,Yes
Female,18 - 29,Yes
Male,30 - 44,No
Female,45 - 59,No
Female,18 - 29,No
Male,60,Yes
Female,18 - 29,No
Male,18 - 29,No
Female,45 - 59,No
Male,30 - 44,No
Female,30 - 44,No
Female,30 - 44,No
Male,18 - 29,No
Female,18 - 29,Yes
Male,60,No
Female,60,Yes
Female,30 - 44,Yes
,,No
Female,60,No
Female,30 - 44,No
Female,45 - 59,No
Female,30 - 44,No
Female,45 - 59,Yes
Male,45 - 59,Yes
Female,30 - 44,No
Female,45 - 59,No
Female,60,No
Female,45 - 59,Yes
Female,60,Yes
Female,30 - 44,No
Male,60,No
Male,60,No
Female,18 - 29,Yes
Male,45 - 59,No
Male,30 - 44,Yes
Male,60,No
Female,60,No
Female,18 - 29,No
Male,18 - 29,Yes
Female,45 - 59,No
Female,18 - 29,No
Female,30 - 44,Yes
Female,30 - 44,Yes
Female,45 - 59,Yes
Female,60,Yes
Male,30 - 44,Yes
Female,18 - 29,Yes
Female,18 - 29,Yes
Female,18 - 29,No
Female,60,No
Male,18 - 29,No
Female,18 - 29,Yes
Female,30 - 44,No
Female,18 - 29,No
Male,18 - 29,No
Female,18 - 29,Yes
Female,45 - 59,No
Female,18 - 29,Yes
Female,45 - 59,Yes
Male,18 - 29,No
Female,30 - 44,No
Male,45 - 59,Yes
Female,60,Yes
Male,60,Yes
Male,60,Yes
Female,18 - 29,Yes
Female,60,No
Female,45 - 59,No
Male,45 - 59,Yes
Female,45 - 59,Yes
,,No
Male,60,Yes
Male,30 - 44,No
Male,45 - 59,Yes
Male,45 - 59,Yes
Female,30 - 44,Yes
Female,60,No
Female,45 - 59,No
Male,60,No
Male,60,No
Male,60,Yes
Female,30 - 44,No
Female,45 - 59,No
Female,45 - 59,No
Female,30 - 44,No
Male,60,Yes
Male,45 - 59,Yes
Female,60,Yes
Male,18 - 29,No
Female,18 - 29,Yes
Male,60,No
Female,30 - 44,Yes
Female,18 - 29,Yes
Male,18 - 29,Yes
Female,18 - 29,No
Female,45 - 59,No
Male,60,No
Female,45 - 59,Yes
Female,60,No
Male,30 - 44,No
Male,30 - 44,No
Female,30 - 44,No
Female,18 - 29,Yes
Female,45 - 59,No
Female,18 - 29,Yes
Female,18 - 29,No
Female,45 - 59,No
Female,45 - 59,No
Male,60,No
Male,30 - 44,No
Female,60,No
Female,18 - 29,Yes
Female,45 - 59,No
Male,30 - 44,Yes
Male,18 - 29,No
Female,45 - 59,No
Male,30 - 44,No
Female,60,No
Female,60,No
Female,30 - 44,Yes
Male,18 - 29,Yes
Female,30 - 44,No
Female,60,Yes
Female,30 - 44,Yes
Female,60,No
Female,60,Yes
Male,45 - 59,No
Female,45 - 59,Yes
Male,30 - 44,No
Female,18 - 29,No
Male,30 - 44,No
Male,30 - 44,No
Female,45 - 59,Yes
Male,45 - 59,Yes
Female,18 - 29,No
Female,45 - 59,Yes
Male,18 - 29,No
Female,45 - 59,No
Female,60,Yes
Female,30 - 44,Yes
Female,30 - 44,Yes
Female,45 - 59,No
Male,18 - 29,No
Female,60,Yes
Female,30 - 44,No
Female,60,Yes
Female,60,Yes
Male,60,No
,,Yes
Male,30 - 44,No
Female,30 - 44,No
Female,45 - 59,No
Female,60,Yes
Female,18 - 29,No
Female,18 - 29,Yes
Female,30 - 44,No
Female,45 - 59,No
Female,60,Yes
Male,60,Yes
Female,60,No
Male,60,No
Female,30 - 44,No
Female,60,Yes
Male,60,No
Female,30 - 44,Yes
Female,45 - 59,Yes
Male,30 - 44,No
Female,45 - 59,Yes
Female,30 - 44,No
Male,60,No
Male,45 - 59,No
Female,45 - 59,No
Female,60,No
Male,45 - 59,Yes
Female,60,Yes
Female,45 - 59,No
Female,30 - 44,No
Female,18 - 29,No
Male,18 - 29,No
Female,30 - 44,No
Female,45 - 59,No
Female,60,No
Female,60,Yes
Male,45 - 59,No
Male,45 - 59,No
Female,30 - 44,No
Female,60,No
Male,18 - 29,No
Female,18 - 29,No
Female,30 - 44,No
Male,30 - 44,No
Female,18 - 29,Yes
Male,45 - 59,Yes
Male,30 - 44,Yes
Female,30 - 44,Yes
Female,30 - 44,No
Female,60,Yes
Female,30 - 44,Yes
Male,30 - 44,Yes
Male,18 - 29,No
Male,18 - 29,Yes
Female,45 - 59,No
Female,45 - 59,No
Male,45 - 59,No
Male,45 - 59,Yes
Female,60,No
Female,60,Yes
Male,60,No
Female,18 - 29,No
Male,60,No
Female,45 - 59,No
Female,45 - 59,No
Female,18 - 29,No
Male,60,Yes
Female,60,No
Female,30 - 44,Yes
Female,60,No
Female,18 - 29,No
Male,45 - 59,No
Female,30 - 44,Yes
Male,60,Yes
Female,30 - 44,No
Female,45 - 59,Yes
Female,18 - 29,No
Male,45 - 59,Yes
Male,60,Yes
Female,60,Yes
Female,18 - 29,Yes
Male,60,Yes
Female,45 - 59,No
Female,30 - 44,Yes
Female,60,No
Male,60,Yes
Female,30 - 44,No
Female,45 - 59,No
Male,60,No
Female,18 - 29,No
Female,30 - 44,Yes
Female,60,Yes
Female,60,Yes
Male,18 - 29,Yes
Female,60,No
Female,45 - 59,Yes
Female,45 - 59,Yes
Male,30 - 44,Yes
Female,18 - 29,No
Female,30 - 44,Yes
Female,45 - 59,No
Female,60,No
Male,45 - 59,No
Female,30 - 44,Yes
Female,30 - 44,Yes
Male,45 - 59,Yes
Female,45 - 59,No
Female,60,Yes
Female,30 - 44,No
Female,60,No
Male,18 - 29,No
Female,45 - 59,Yes
Female,18 - 29,No
Female,30 - 44,Yes
Male,60,No
Male,30 - 44,Yes
Female,45 - 59,Yes
Female,45 - 59,No
Female,30 - 44,Yes
Male,60,No
Female,18 - 29,Yes
Female,18 - 29,No
Female,60,No
Male,45 - 59,No
Female,18 - 29,No
Female,60,No
Female,30 - 44,Yes
Female,18 - 29,No
Male,45 - 59,Yes
Female,18 - 29,Yes
Male,45 - 59,Yes
Female,30 - 44,Yes
Female,60,No
Female,18 - 29,No
Female,60,No
Male,60,No
,,Yes
Male,60,Yes
Female,45 - 59,No
Female,18 - 29,No
Female,60,Yes
Female,60,No
Female,30 - 44,Yes
Female,18 - 29,No
Female,30 - 44,No
Female,45 - 59,No
Male,18 - 29,Yes
Male,60,No
Female,45 - 59,No
Female,18 - 29,No
Female,30 - 44,Yes
Female,45 - 59,Yes
Male,60,Yes
Female,18 - 29,Yes
Male,60,No
Female,45 - 59,Yes
Male,60,No
Female,60,Yes
Female,60,No
Female,30 - 44,No
Female,30 - 44,Yes
Female,60,Yes
Female,60,Yes
Female,30 - 44,Yes
Male,45 - 59,Yes
Female,45 - 59,No
Male,45 - 59,No
Male,45 - 59,Yes
Female,45 - 59,No
Female,45 - 59,Yes
Female,45 - 59,Yes
Male,30 - 44,No
Female,60,Yes
Male,18 - 29,No
Male,45 - 59,No
Female,30 - 44,No
Male,45 - 59,No
Female,60,Yes
Male,60,Yes
Male,45 - 59,No
Male,45 - 59,No
Female,60,Yes
Male,60,No
Female,30 - 44,Yes
Female,30 - 44,Yes
Male,45 - 59,No
Female,30 - 44,Yes
Male,30 - 44,No
Female,18 - 29,Yes
Female,45 - 59,Yes
Female,45 - 59,No
Male,45 - 59,No
Female,60,No
Female,45 - 59,No
Female,30 - 44,No
Male,30 - 44,No
Male,60,Yes
Female,45 - 59,Yes
Male,30 - 44,Yes
Male,45 - 59,No
Female,60,No
Female,30 - 44,Yes
Female,60,No
Female,18 - 29,Yes
Male,60,No
Male,60,Yes
Female,45 - 59,Yes
Male,60,No
Male,45 - 59,Yes
Female,45 - 59,Yes
Male,60,No
Female,18 - 29,Yes
Female,45 - 59,No
Male,60,Yes
Female,45 - 59,Yes
Female,45 - 59,Yes
Male,45 - 59,Yes
Female,60,No
Female,60,No
Female,30 - 44,Yes
Female,45 - 59,Yes
Female,45 - 59,Yes
Male,60,No
Female,30 - 44,Yes
Female,30 - 44,No
Female,30 - 44,Yes
Male,45 - 59,No
Female,30 - 44,No
Female,30 - 44,No
Male,30 - 44,Yes
Male,45 - 59,Yes
Male,30 - 44,Yes
Female,30 - 44,No
Female,60,No
Male,60,Yes
Female,30 - 44,Yes
Male,45 - 59,No
Male,45 - 59,Yes
Female,60,Yes
Female,30 - 44,No
Female,18 - 29,No
Female,60,No
Female,60,No
Female,30 - 44,Yes
Male,60,No
Female,18 - 29,No
Female,18 - 29,Yes
Male,60,Yes
Female,45 - 59,No
Male,45 - 59,No
Female,30 - 44,No
Female,45 - 59,No
Female,30 - 44,Yes
Female,30 - 44,Yes
Female,60,No
Female,30 - 44,Yes
,,No
Male,45 - 59,Yes
Female,30 - 44,No
Female,30 - 44,No
Female,45 - 59,No
Male,45 - 59,No
Female,60,Yes
Female,30 - 44,No
Female,60,No
Female,60,Yes
Male,60,No
Male,45 - 59,Yes
Female,18 - 29,No
Female,60,No
Male,45 - 59,No
Female,60,No
Male,60,No
Female,60,No
Female,30 - 44,No
Female,30 - 44,No
,,No
